,Unnamed: 0,Syslog priority,Operation,Message code,Protocol,Source IP,Destination IP,Source hostname,Destination hostname,Source port,Destination port,Destination service,Direction,Connections built,Connections torn down,Date,Time,cat_src,cat_dst
0,26230,Critical,Deny,ASA-2-106001,TCP,10.32.5.52,10.32.0.1,(empty),(empty),6667,8508,8508_tcp,inbound,0,0,2012-04-05,20:27:37,ext_website,ext_website
1,32045,Critical,Deny,ASA-2-106001,TCP,10.32.5.51,10.32.0.1,(empty),(empty),6667,29440,29440_tcp,inbound,0,0,2012-04-05,20:56:37,ext_website,ext_website
2,39329,Critical,Deny,ASA-2-106001,TCP,10.32.5.58,10.32.0.1,(empty),(empty),6667,62073,62073_tcp,inbound,0,0,2012-04-05,21:32:36,ext_website,ext_website
3,40832,Critical,Deny,ASA-2-106001,TCP,10.32.5.57,10.32.0.1,(empty),(empty),6667,13734,13734_tcp,inbound,0,0,2012-04-05,21:38:42,ext_website,ext_website
4,41342,Critical,Deny,ASA-2-106001,TCP,10.32.5.52,10.32.0.1,(empty),(empty),6667,48891,48891_tcp,inbound,0,0,2012-04-05,21:42:19,ext_website,ext_website
5,46049,Critical,Deny,ASA-2-106001,TCP,10.32.5.54,10.32.0.1,(empty),(empty),6667,61255,61255_tcp,inbound,0,0,2012-04-05,22:05:37,ext_website,ext_website
6,53921,Critical,Deny,ASA-2-106001,TCP,10.32.5.56,10.32.0.1,(empty),(empty),6667,49850,49850_tcp,inbound,0,0,2012-04-05,22:40:40,ext_website,ext_website
7,57422,Critical,Deny,ASA-2-106001,TCP,10.32.5.52,10.32.0.1,(empty),(empty),6667,38111,38111_tcp,inbound,0,0,2012-04-05,22:55:03,ext_website,ext_website
8,58195,Critical,Deny,ASA-2-106001,TCP,10.32.5.59,10.32.0.1,(empty),(empty),6667,51461,51461_tcp,inbound,0,0,2012-04-05,22:57:57,ext_website,ext_website
9,59400,Critical,Deny,ASA-2-106001,TCP,10.32.5.51,10.32.0.1,(empty),(empty),6667,63750,63750_tcp,inbound,0,0,2012-04-05,23:02:37,ext_website,ext_website
10,60027,Critical,Deny,ASA-2-106001,TCP,10.32.5.57,10.32.0.1,(empty),(empty),6667,4370,4370_tcp,inbound,0,0,2012-04-05,23:05:37,ext_website,ext_website
11,61159,Critical,Deny,ASA-2-106001,TCP,10.32.5.59,10.32.0.1,(empty),(empty),6667,29232,29232_tcp,inbound,0,0,2012-04-05,23:09:37,ext_website,ext_website
12,61965,Critical,Deny,ASA-2-106001,TCP,10.32.5.52,10.32.0.1,(empty),(empty),6667,23349,23349_tcp,inbound,0,0,2012-04-05,23:12:38,ext_website,ext_website
13,66183,Critical,Deny,ASA-2-106001,TCP,10.32.5.57,10.32.0.1,(empty),(empty),6667,33803,33803_tcp,inbound,0,0,2012-04-05,23:28:37,ext_website,ext_website
14,66610,Critical,Deny,ASA-2-106001,TCP,10.32.5.59,10.32.0.1,(empty),(empty),6667,32373,32373_tcp,inbound,0,0,2012-04-05,23:30:08,ext_website,ext_website
15,66789,Critical,Deny,ASA-2-106001,TCP,10.32.5.57,10.32.0.1,(empty),(empty),6667,30335,30335_tcp,inbound,0,0,2012-04-05,23:30:38,ext_website,ext_website
16,69318,Critical,Deny,ASA-2-106001,TCP,10.32.5.57,10.32.0.1,(empty),(empty),6667,20213,20213_tcp,inbound,0,0,2012-04-05,23:41:42,ext_website,ext_website
17,71444,Critical,Deny,ASA-2-106001,TCP,10.32.5.52,10.32.0.1,(empty),(empty),6667,37732,37732_tcp,inbound,0,0,2012-04-05,23:49:50,ext_website,ext_website
18,72050,Critical,Deny,ASA-2-106001,TCP,10.32.5.56,10.32.0.1,(empty),(empty),6667,19550,19550_tcp,inbound,0,0,2012-04-05,23:52:22,ext_website,ext_website
19,74128,Critical,Deny,ASA-2-106001,TCP,10.32.5.52,10.32.0.1,(empty),(empty),6667,32944,32944_tcp,inbound,0,0,2012-04-06,00:01:38,ext_website,ext_website
20,79377,Critical,Deny,ASA-2-106001,TCP,10.32.5.58,10.32.0.1,(empty),(empty),6667,38306,38306_tcp,inbound,0,0,2012-04-06,00:23:38,ext_website,ext_website
21,79465,Critical,Deny,ASA-2-106001,TCP,10.32.5.57,10.32.0.1,(empty),(empty),6667,51072,51072_tcp,inbound,0,0,2012-04-06,00:24:16,ext_website,ext_website
22,80675,Critical,Deny,ASA-2-106001,TCP,10.32.5.58,10.32.0.1,(empty),(empty),6667,1618,1618_tcp,inbound,0,0,2012-04-06,00:30:37,ext_website,ext_website
23,81070,Critical,Deny,ASA-2-106001,TCP,10.32.5.57,10.32.0.1,(empty),(empty),6667,59484,59484_tcp,inbound,0,0,2012-04-06,00:32:39,ext_website,ext_website
24,83351,Critical,Deny,ASA-2-106001,TCP,10.32.5.51,10.32.0.1,(empty),(empty),6667,1325,1325_tcp,inbound,0,0,2012-04-06,00:43:38,ext_website,ext_website
25,87992,Critical,Deny,ASA-2-106001,TCP,10.32.5.56,10.32.0.1,(empty),(empty),6667,26768,26768_tcp,inbound,0,0,2012-04-06,01:05:37,ext_website,ext_website
26,88019,Critical,Deny,ASA-2-106001,TCP,10.32.5.54,10.32.0.1,(empty),(empty),6667,63801,63801_tcp,inbound,0,0,2012-04-06,01:05:59,ext_website,ext_website
27,90743,Critical,Deny,ASA-2-106001,TCP,10.32.5.51,10.32.0.1,(empty),(empty),6667,65161,65161_tcp,inbound,0,0,2012-04-06,01:18:39,ext_website,ext_website
28,91770,Critical,Deny,ASA-2-106001,TCP,10.32.5.56,10.32.0.1,(empty),(empty),6667,64863,64863_tcp,inbound,0,0,2012-04-06,01:22:37,ext_website,ext_website
29,91977,Critical,Deny,ASA-2-106001,TCP,10.32.5.59,10.32.0.1,(empty),(empty),6667,34364,34364_tcp,inbound,0,0,2012-04-06,01:23:38,ext_website,ext_website
30,91982,Critical,Deny,ASA-2-106001,TCP,10.32.5.56,10.32.0.1,(empty),(empty),6667,14968,14968_tcp,inbound,0,0,2012-04-06,01:23:39,ext_website,ext_website
31,92395,Critical,Deny,ASA-2-106001,TCP,10.32.5.58,10.32.0.1,(empty),(empty),6667,32309,32309_tcp,inbound,0,0,2012-04-06,01:25:39,ext_website,ext_website
32,93748,Critical,Deny,ASA-2-106001,TCP,10.32.5.57,10.32.0.1,(empty),(empty),6667,6762,6762_tcp,inbound,0,0,2012-04-06,01:32:10,ext_website,ext_website
