JoinKey,,SuspiciousPairCount
10.32.0.100_172.28.29.173,0,0
10.32.0.202_172.28.29.177,0,0
10.32.0.204_172.28.29.175,0,0
10.32.0.204_172.28.29.8,0,0
10.32.0.205_172.28.29.23,0,0
10.32.0.206_172.28.29.20,0,0
10.32.0.206_172.28.29.21,0,0
10.32.1.201_172.28.29.176,0,0
10.32.1.201_172.28.29.23,0,0
10.32.1.203_172.28.29.23,0,0
10.32.1.206_172.28.29.22,0,0
10.32.1.206_172.28.29.29,0,0
10.32.1.206_172.28.29.9,0,0
172.23.10.110_10.32.1.206,0,82
172.23.10.111_10.32.0.100,0,1336
172.23.10.111_10.32.1.204,0,94
172.23.10.114_10.32.0.201,0,98
172.23.10.115_10.32.1.203,0,79
172.23.10.117_10.32.0.201,0,79
172.23.10.117_10.32.0.206,0,83
172.23.10.119_10.32.0.205,0,94
172.23.10.198_10.32.0.209,0,83
172.23.10.198_10.32.1.206,0,91
172.23.10.204_10.32.1.201,0,88
172.23.10.207_10.32.0.206,0,84
172.23.10.208_10.32.1.202,0,75
172.23.10.209_10.32.0.204,0,71
172.23.10.47_10.32.0.206,0,74
172.23.10.47_10.32.1.203,0,89
172.23.10.48_10.32.0.209,0,102
172.23.100.130_10.32.1.201,0,43
172.23.100.132_10.32.0.206,0,35
172.23.100.133_10.32.0.204,0,52
172.23.100.133_10.32.1.206,0,48
172.23.100.135_10.32.0.204,0,30
172.23.100.136_10.32.0.100,0,4691
172.23.100.137_10.32.0.201,0,40
172.23.100.137_10.32.0.209,0,46
172.23.100.138_10.32.0.100,0,4694
172.23.100.138_10.32.0.210,0,38
172.23.100.138_10.32.1.206,0,35
172.23.100.139_10.32.0.206,0,44
172.23.100.139_10.32.0.207,0,62
172.23.100.139_10.32.1.204,0,23
172.23.100.222_10.32.1.206,0,33
172.23.100.225_10.32.0.208,0,50
172.23.100.226_10.32.1.201,0,39
172.23.100.226_10.32.1.205,0,43
172.23.100.226_10.32.1.206,0,39
172.23.100.228_10.32.1.206,0,43
172.23.100.250_10.32.0.209,0,57
172.23.100.250_10.32.1.201,0,45
172.23.100.52_10.32.1.204,0,55
172.23.100.54_10.32.1.201,0,51
172.23.100.54_10.32.1.203,0,33
172.23.100.59_10.32.0.210,0,68
172.23.101.101_10.32.1.206,0,57
