Destination port,count
1057.0,1
1106.0,3
1114.0,4
1143.0,4
1165.0,3
1180.0,2
1186.0,4
1188.0,2
1196.0,4
1255.0,4
1287.0,2
1334.0,2
1348.0,2
1379.0,4
1383.0,5
1386.0,12
1456.0,3
1465.0,3
1490.0,2
1569.0,1
1595.0,6
1632.0,5
1673.0,2
1683.0,4
1698.0,4
1701.0,2
1728.0,3
1790.0,3
1813.0,3
1818.0,3
1866.0,3
1887.0,4
1903.0,3
1910.0,1
1918.0,1
1930.0,4
1995.0,2
2008.0,2
2023.0,5
2091.0,3
2094.0,2
2098.0,2
2106.0,3
2112.0,4
2142.0,1
2150.0,3
2180.0,4
2188.0,4
2199.0,2
2240.0,2
2250.0,4
2258.0,1
2351.0,4
2353.0,6
2366.0,5
2415.0,5
2432.0,4
2448.0,3
2464.0,3
2514.0,4
2624.0,3
2627.0,2
2635.0,2
2684.0,2
2704.0,2
2705.0,2
2725.0,2
2746.0,1
2800.0,1
2801.0,1
2802.0,2
2804.0,3
2813.0,2
2831.0,2
2844.0,4
2863.0,1
2888.0,4
2893.0,4
2901.0,3
2954.0,3
2969.0,2
2986.0,5
2997.0,1
3000.0,1
3018.0,4
3038.0,3
3044.0,2
3088.0,2
3185.0,4
3224.0,1
3227.0,2
3398.0,4
3399.0,2
3423.0,4
3445.0,1
3466.0,1
3500.0,1
3520.0,2
3522.0,1
3555.0,1
3561.0,3
3562.0,2
3568.0,3
3601.0,2
3602.0,3
3628.0,2
3649.0,1
3661.0,1
3687.0,3
3688.0,4
3733.0,1
3746.0,3
3787.0,2
3813.0,1
3832.0,2
3841.0,2
3874.0,1
3950.0,5
4002.0,2
4011.0,4
4013.0,2
4018.0,4
4056.0,2
4069.0,2
4070.0,2
4095.0,4
4100.0,4
4126.0,4
4161.0,1
4165.0,1
4177.0,2
4190.0,1
4223.0,2
4227.0,2
4288.0,2
4325.0,5
4393.0,2
4409.0,2
4418.0,3
4422.0,2
4466.0,2
4487.0,2
4510.0,2
4550.0,4
4557.0,5
4592.0,2
4611.0,3
4650.0,2
4669.0,2
4675.0,3
4693.0,1
4698.0,3
4707.0,4
4742.0,3
4751.0,4
4769.0,2
4810.0,2
4820.0,4
4866.0,1
4882.0,1
4899.0,3
4941.0,1
5026.0,1
5470.0,1
5495.0,1
5788.0,1
5979.0,1
6037.0,1
6168.0,1
6354.0,1
6506.0,1
6517.0,1
6574.0,1
6596.0,1
6780.0,1
7217.0,1
7569.0,1
7644.0,1
7685.0,1
7808.0,1
8431.0,1
8574.0,1
8672.0,1
8884.0,1
9126.0,1
9285.0,1
9564.0,1
9760.0,1
9901.0,1
10000.0,1
10044.0,1
10186.0,1
10577.0,1
10675.0,1
10687.0,1
10986.0,1
11029.0,1
11456.0,1
11783.0,1
11789.0,1
12094.0,1
12657.0,1
12828.0,1
12853.0,1
13014.0,1
13056.0,1
13460.0,1
13614.0,1
13785.0,1
13892.0,1
14484.0,1
14556.0,1
14563.0,1
14579.0,1
14685.0,1
14765.0,1
14916.0,1
15020.0,1
15026.0,1
15171.0,1
15393.0,1
15587.0,1
15790.0,1
15816.0,1
15876.0,1
15984.0,1
16010.0,1
16850.0,1
17110.0,2
17117.0,1
17216.0,1
17225.0,1
17297.0,1
17797.0,2
17838.0,1
17962.0,1
18225.0,1
18272.0,1
18284.0,1
18522.0,2
18762.0,1
18830.0,1
19017.0,1
19028.0,1
19046.0,1
19081.0,1
19328.0,1
19885.0,1
19989.0,1
20004.0,1
20016.0,1
20305.0,2
20653.0,1
20811.0,1
21032.0,1
21219.0,1
21224.0,1
21674.0,1
21687.0,1
22110.0,2
22299.0,1
22366.0,1
22535.0,1
23081.0,1
23326.0,1
23432.0,1
23496.0,1
23643.0,1
23713.0,1
23732.0,1
24461.0,1
24691.0,1
25133.0,1
25361.0,1
25502.0,1
25634.0,1
25948.0,1
25976.0,1
26617.0,1
27166.0,1
27490.0,1
27725.0,1
27884.0,1
28039.0,1
28074.0,1
28086.0,1
28890.0,1
29156.0,1
29260.0,1
29664.0,1
29740.0,1
29985.0,1
30027.0,1
30051.0,1
30211.0,1
30308.0,1
30546.0,1
30656.0,1
30809.0,1
31411.0,1
31503.0,1
31552.0,1
31603.0,1
31918.0,1
32638.0,2
33683.0,1
34393.0,2
34585.0,1
34807.0,1
34910.0,1
35176.0,1
35596.0,2
35749.0,1
35903.0,1
36014.0,1
36054.0,1
36357.0,1
36721.0,1
36786.0,1
36855.0,1
36966.0,1
36979.0,1
36982.0,1
37026.0,1
37597.0,1
37716.0,1
37970.0,1
38041.0,1
38121.0,1
38172.0,1
38255.0,1
38419.0,1
38448.0,1
38908.0,1
39164.0,1
39560.0,1
39714.0,1
40167.0,1
40416.0,1
40476.0,1
40849.0,1
41025.0,1
41240.0,1
41395.0,1
41404.0,1
41488.0,1
41695.0,1
42720.0,1
43036.0,1
43453.0,1
43672.0,1
43824.0,1
43953.0,1
44187.0,2
44405.0,1
44738.0,2
45554.0,1
45638.0,2
45883.0,1
46299.0,1
46656.0,2
46853.0,1
46859.0,1
46866.0,1
47288.0,1
47549.0,1
48248.0,1
48290.0,1
48298.0,1
48374.0,1
48560.0,1
48619.0,3
48861.0,2
48977.0,1
49193.0,1
49243.0,1
49406.0,1
49418.0,1
49429.0,1
49499.0,2
49654.0,1
49834.0,1
49882.0,1
50097.0,1
50239.0,1
50405.0,1
50666.0,1
50804.0,1
51161.0,1
51426.0,2
51451.0,1
51573.0,1
51991.0,1
52073.0,1
52235.0,1
52379.0,1
52389.0,2
52457.0,2
52495.0,1
52557.0,1
52562.0,1
52661.0,2
52905.0,1
52948.0,1
52970.0,1
53281.0,1
54307.0,1
54402.0,1
54494.0,1
54604.0,1
54821.0,1
54898.0,1
54924.0,1
54957.0,1
55049.0,1
55141.0,1
55161.0,1
55486.0,1
55687.0,1
55877.0,1
55881.0,1
55990.0,1
56223.0,1
56413.0,1
56436.0,2
56446.0,1
56554.0,1
56589.0,1
56868.0,1
57693.0,1
57806.0,2
58121.0,1
58344.0,1
58513.0,1
58548.0,1
58584.0,1
58711.0,1
58829.0,1
58941.0,1
59181.0,1
59558.0,1
59616.0,1
59711.0,1
59917.0,1
60022.0,1
60124.0,1
60496.0,1
60602.0,1
60670.0,2
61294.0,1
61451.0,1
61467.0,1
61505.0,1
61678.0,1
61808.0,1
62419.0,1
62741.0,1
62768.0,1
63188.0,1
63242.0,1
64174.0,1
64544.0,1
64937.0,1
65242.0,1
65321.0,1
65409.0,1
65472.0,1
65494.0,2
65509.0,1
65525.0,1
1027.0,4
1078.0,1
1083.0,3
1091.0,5
1112.0,2
1149.0,2
1160.0,4
1163.0,3
1183.0,3
1190.0,2
1199.0,3
1263.0,1
1275.0,1
1283.0,4
1294.0,4
1324.0,2
1402.0,3
1405.0,5
1471.0,4
1529.0,3
1538.0,2
1546.0,7
1561.0,2
1599.0,6
1617.0,3
1624.0,4
1639.0,3
1657.0,4
1693.0,2
1737.0,3
1781.0,2
1820.0,6
1845.0,2
1860.0,5
1865.0,2
1987.0,4
2003.0,3
2065.0,1
2068.0,2
2101.0,4
2132.0,4
2134.0,2
2167.0,3
2195.0,4
2272.0,2
2285.0,5
2291.0,3
2296.0,3
2350.0,2
2393.0,4
2407.0,2
2411.0,4
2444.0,4
2499.0,5
2502.0,5
2503.0,3
2509.0,2
2511.0,2
2577.0,4
2602.0,2
2630.0,3
2682.0,1
2692.0,2
2697.0,3
2710.0,2
2734.0,3
2735.0,1
