Destination service,count
10225_tcp,1
1043_tcp,2
10495_tcp,1
1052_tcp,3
10728_tcp,1
1078_tcp,1
1084_tcp,4
1092_tcp,3
10974_tcp,1
11010_tcp,1
11017_tcp,1
11153_tcp,2
11325_tcp,1
1134_tcp,2
1136_tcp,3
1140_udp,10
1145_tcp,2
11557_tcp,1
1169_tcp,1
1173_tcp,4
11750_tcp,1
1188_tcp,2
11898_tcp,1
11911_tcp,3
1207_tcp,1
12128_tcp,1
12251_tcp,1
1275_tcp,1
12874_tcp,1
1290_tcp,1
12935_tcp,1
12948_tcp,1
1294_tcp,4
12990_tcp,1
13191_tcp,1
1323_tcp,1
13273_tcp,1
1358_tcp,2
1370_tcp,4
13730_tcp,1
1394_tcp,3
14208_tcp,1
1421_tcp,5
14339_udp,8
14351_tcp,1
14361_tcp,1
14381_tcp,1
14758_tcp,1
15025_tcp,1
15041_tcp,1
1518_tcp,4
15382_tcp,1
1538_tcp,2
1545_tcp,5
1550_tcp,2
1568_tcp,2
1576_tcp,3
1587_tcp,5
15881_tcp,1
15934_tcp,1
1596_tcp,3
1597_tcp,4
16023_tcp,1
16052_tcp,1
1612_tcp,4
16229_tcp,1
16292_tcp,1
16380_tcp,1
1640_tcp,2
16741_tcp,3
16750_tcp,1
1675_tcp,3
1694_tcp,4
17088_tcp,1
17229_tcp,1
1730_tcp,3
1736_tcp,1
17476_tcp,1
17553_tcp,1
17689_tcp,1
1774_tcp,2
1795_tcp,5
18255_tcp,1
1833_tcp,3
18543_tcp,1
18610_tcp,1
18614_tcp,1
18671_tcp,1
1870_tcp,3
18717_tcp,1
1877_tcp,3
18925_tcp,2
19044_tcp,2
1907_tcp,3
19095_tcp,1
19123_tcp,1
1920_tcp,1
1924_tcp,3
19256_tcp,1
19336_tcp,1
19557_tcp,1
1961_tcp,4
1962_tcp,4
19664_tcp,1
1973_tcp,4
19769_tcp,2
19854_tcp,1
20074_tcp,1
20105_tcp,1
20111_tcp,1
20281_tcp,1
20476_tcp,1
2069_tcp,2
20823_tcp,1
20852_tcp,1
2098_tcp,2
21214_tcp,1
21337_tcp,1
21444_tcp,1
2194_tcp,3
22066_tcp,2
22331_tcp,1
22431_tcp,1
2243_tcp,3
22450_tcp,1
2256_tcp,5
22712_tcp,1
22806_tcp,1
2300_tcp,4
23047_tcp,1
23188_tcp,1
2322_tcp,4
23344_tcp,1
23401_tcp,1
2343_tcp,3
23715_tcp,1
23829_tcp,1
24029_tcp,1
24223_tcp,1
24325_tcp,1
24348_tcp,1
2459_tcp,4
24609_tcp,2
24617_tcp,1
24734_tcp,1
24804_tcp,1
2491_tcp,2
25008_tcp,1
2505_tcp,3
25104_tcp,1
2518_tcp,5
25208_tcp,1
2533_tcp,7
25483_tcp,1
25646_tcp,1
25670_tcp,1
2574_tcp,6
25807_tcp,1
2585_tcp,1
25934_tcp,1
26137_tcp,1
2613_tcp,1
26197_tcp,2
26228_tcp,1
26304_tcp,1
26493_tcp,1
26785_tcp,1
27364_tcp,1
27373_tcp,1
27462_tcp,1
27546_tcp,1
2768_tcp,2
2782_tcp,1
2783_tcp,2
2793_tcp,3
27992_tcp,1
